timestamp,ax,ay,az,gx,gy,gz
94,24304,4964,-2128,4526,47,-1699
116,16744,1720,-1924,-2324,6611,3054
137,12476,2200,-716,131,3215,-4670
160,12176,3796,-120,-3463,1028,-4404
182,12452,-1596,-2200,-1953,-2652,-2811
204,19272,4612,-4820,3797,-6756,-2527
225,27104,10484,-5744,-2423,2096,5861
248,14648,10980,-5188,-4958,6918,8005
270,12916,16944,-6704,-5226,-152,-3401
292,26328,23200,-12252,-11832,-3481,-5482
314,32767,22668,-15476,-19429,10857,14814
336,14340,22408,-13992,-25447,20798,27852
358,7592,12392,-13064,-32767,14262,11795
380,13088,4492,-13936,-32768,12277,-1920
402,15256,-6888,-14740,-32768,11569,4761
425,21344,-24740,-17444,-19322,19619,28870
446,80,-20524,-7636,-19182,32767,24464
469,-31284,-32388,-3056,-26124,14543,-10808
490,1936,-32768,-2640,-2494,-32768,-26509
512,32767,-27736,-12924,10867,-8792,8124
533,12616,-14428,2688,-6556,32767,32767
555,-32768,-32768,6552,-16874,4027,-2180
577,20584,-25132,660,18842,-30351,-32768
599,24564,-2024,4176,-6084,14594,17015
622,-4324,-20528,2028,-4231,7559,8136
643,5600,-12216,2392,2081,-9458,-4568
666,18304,-19424,-496,-5416,-8723,-2425
688,20572,-18640,-1028,8070,-1511,-1017
710,14824,-9672,1688,1196,1111,3392
732,12444,-20380,204,780,-2693,1236
753,19576,-16280,124,7644,-5946,-2246
776,19300,-14712,1504,725,1662,3028
797,8120,-23900,524,3745,304,-238
820,15292,-20652,-1400,15006,-12239,-17408
841,27136,-16320,-676,8078,-5881,-8482
864,21468,-28952,-2340,10103,3330,-552
885,13520,-23752,-2940,23582,-4551,-9304
908,24656,-14652,-3296,21489,-9572,-10320
929,25860,-11884,-2996,17813,1456,1300
952,17232,-8572,-3344,13391,-2023,-3982
973,26900,-16000,-5236,10434,-3043,-7503
996,24720,-9260,-6120,20751,6301,-9377
1018,18840,2280,-5248,9630,10842,-17143
1040,14924,-8984,-7540,3591,5775,-19376
1061,26152,-5268,-9888,21393,741,-16195
1084,27708,15916,-6208,19258,18488,-323
1105,4868,9748,-3172,4166,25545,4543
1128,620,4840,-916,12735,9079,-10699
1149,10076,20504,1208,14270,4862,-12420
1171,10524,21908,2276,-4552,11808,-632
1193,-784,10028,2412,-8727,11390,7587
1216,-2800,6032,4808,-1769,-2399,4376
1237,9996,10344,3912,3293,-7110,3716
1260,9636,6196,2460,-4021,1316,12119
1281,5808,-4448,868,1141,-642,11327
1303,10432,-2672,748,12710,-1144,11672
1326,10272,13632,2972,8796,5734,9747
1347,2988,11152,2812,-13056,9909,3959
1369,1616,-6692,2412,-16907,2775,-859
1391,8412,-15400,2028,-5284,2101,195
1413,7180,-5764,3216,3361,1940,3300
1436,8128,-3440,3012,-3173,4022,9923
1457,1488,-7228,3520,-4211,6215,10760
1481,-3504,-8524,3724,-5580,1852,-1338
1501,-3016,-12704,884,-8991,-2267,-13521
1524,628,-24660,-3568,-2939,-3796,-8100
1546,-6164,-19244,-4256,15621,-6624,-2412
1568,-7760,1180,-2284,13866,-14604,-9273
1590,3172,-3816,-2812,-1127,-22762,-16398
1612,10184,-11976,-2376,4905,-12741,-1170
1633,-3800,-4080,-260,11056,-12113,869
1656,-5780,2860,-1744,2014,-28437,-12529
1678,24704,-2728,-8936,-2168,-32768,-23141
1700,32767,-16116,-13972,3928,-23548,-523
1722,32767,2656,-10624,25927,-9212,3230
1744,32767,21172,-12044,12223,-24147,1717
1766,32767,10280,-11532,555,13493,32767
1787,16736,20,-3768,-6134,25305,25626
1809,10988,-5392,-5080,4169,-9610,-8786
1831,32767,4140,-12744,7766,-17732,-7855
1853,32767,2560,-13296,1853,11081,11111
1876,20520,64,-6752,-3447,22755,12914
1897,6912,-9448,-3596,-3650,8471,175
1920,15568,-8516,-3064,2572,-1440,-6182
1942,18644,-4196,-3224,2150,1918,-813
1963,14948,-3604,-3024,1272,3109,2413
1986,13164,-4288,-3724,4437,2021,-1309
2007,17956,4376,-5032,2656,-5201,-10308
2030,27932,3404,-6612,-6117,3262,-6812
2051,17988,1152,-6332,-4683,9585,-1145
2073,14912,6024,-5140,-1173,3410,-6705
2096,17628,13312,-6252,-2441,1784,-8599
2117,19916,23320,-9760,-6907,-722,-9360
2140,28812,21656,-13440,-21281,-633,-7741
2161,32767,13988,-16928,-19353,9147,5453
2184,22772,22024,-15940,-19170,19113,17067
2206,12712,18840,-14924,-29229,24357,17699
2228,872,7140,-14568,-32768,21385,10468
2249,-4516,-1224,-9712,-28719,8435,10793
2271,14132,-5560,-16772,-24364,-22,24035
2294,17636,-14088,-17336,-24656,29473,32767
2316,-29536,-15032,-9528,-32768,32767,17836
2338,-22464,-32768,-13400,-32768,-25281,1153
2361,32767,-32768,-21008,12099,-29547,9702
2382,29248,496,-4140,10764,32767,27074
2404,-32768,-24640,-1388,-32768,32767,10833
2426,-1296,-32768,-8044,-9315,-32768,-32768
2447,32767,-21672,-2140,32767,2107,-6658
2470,4932,2084,3716,7320,15111,14477
2492,6028,-20884,-456,-2806,1181,3146
2514,8008,-18824,-436,11767,-1467,-3876
2536,13244,-12400,448,8185,-5867,-2646
2558,16496,-17504,-1056,6583,-4043,516
2580,18688,-21176,-2308,6637,-4296,-3982
2602,20860,-26528,-3148,8377,-2268,-13246
2625,25608,-23000,-2804,14167,-2594,-13879
2645,31120,-22164,-2564,17472,2560,-5067
2667,24908,-16384,-1936,20555,9266,2973
2690,19844,-16000,-1240,16004,4733,-3570
2712,25140,-18496,-1440,12606,5415,-4097
2733,20164,-22876,-2664,17050,10081,-993
2756,11612,-14492,-1484,25137,8078,1270
2778,10676,-3572,-1084,19999,684,-2473
2800,9304,-760,-1096,9598,-593,-7697
2821,6596,-5436,-2656,759,-7375,-12045
2845,17448,-14068,-6528,8472,-13171,-18449
