timestamp,ax,ay,az,gx,gy,gz
98,18252,3940,-17780,32767,3025,-6274
120,15472,4052,-10916,32767,6837,-727
141,10720,5040,-3976,32767,12809,3772
164,5656,2532,4364,32767,14744,7251
187,2884,-2532,13624,32767,12214,10174
208,6160,-432,16908,32280,17594,12957
232,1668,-6064,32767,25288,32767,18214
253,-5976,-8020,32767,2929,24778,22642
276,-8000,-2776,32767,-16224,13638,26026
297,-11076,3048,28844,-26806,16354,26996
320,-15604,8332,20500,-32768,20397,25820
342,-22248,11736,9912,-32768,12669,22391
363,-23428,15456,-2284,-32768,1550,17817
386,-23476,15004,-8644,-32768,9533,13738
408,-32608,15376,-17164,-32768,-778,8809
430,-32768,19228,-26896,-32768,-16754,3701
452,-32768,16184,-32244,-32768,-18323,-2238
474,-32768,14148,-32768,-32768,-3848,-11023
496,-32768,13676,-32768,-27181,-414,-21657
518,-32148,11344,-32768,-17616,4239,-30518
540,-22092,9144,-32768,-6484,7842,-32768
562,-11344,6912,-32768,6282,14825,-32768
580,-176,5744,-32768,18200,22366,-32768
606,5532,3240,-29920,24466,17992,-32768
628,9008,3400,-26016,26817,8071,-30606
648,13796,2168,-22496,29514,5816,-25842
673,15784,1260,-17468,32767,13477,-20145
695,14076,1148,-11528,32767,22620,-13869
715,11588,844,-5388,32767,22757,-8065
737,12456,-776,-244,32767,16324,-2847
759,15080,-2516,2020,32434,12959,1832
782,14256,-2708,6824,32767,30009,6732
804,9988,-5892,18644,29989,32767,13159
826,8736,-8168,27000,17381,32767,20522
848,2252,-7324,31864,2285,29450,27555
871,-8308,-3360,30512,-15186,15139,32181
892,-14320,1104,24512,-27953,4912,32767
914,-17584,5596,18780,-32768,9986,31021
936,-19540,10456,14364,-32768,18174,25941
958,-25764,14924,5756,-32768,11904,20959
980,-31324,21056,-8800,-32768,-18402,17668
1003,-32768,22592,-20328,-32768,-15024,12962
1024,-32768,18236,-25236,-32768,2080,3301
1046,-32768,15644,-30904,-32768,5421,-9697
1068,-32768,15892,-32768,-32768,-96,-20764
1090,-27976,13980,-32768,-28094,-3035,-28574
1112,-20148,12312,-32768,-22167,-4510,-32768
1134,-13744,9276,-32768,-12269,1330,-32768
1156,-8772,7280,-32768,-46,11347,-32768
1179,-3556,7296,-32768,9707,16568,-32768
1197,5544,5540,-29696,15339,14531,-32768
1219,13112,1240,-27672,20366,14060,-32768
1244,16368,-1112,-23900,25327,14779,-27615
1266,20312,-5404,-19720,27613,9645,-19905
1287,23124,-4868,-16400,30402,12555,-12192
1310,21788,-3716,-13320,32767,27407,-4613
1332,15556,-2140,-6028,32767,32169,3256
1355,13264,-4124,-2424,28714,15804,9412
1376,13116,-3420,-1032,27019,15486,14029
1396,10556,-4496,3284,26557,24267,18453
1420,9192,-6972,10128,22516,27176,23750
1435,9400,-7436,14800,12406,15609,30167
1463,6528,-4580,15556,3213,12353,32767
1484,-860,-92,15148,-5015,8523,32767
1508,-7964,2944,17600,-12058,7622,32767
1530,-16752,5604,16856,-19752,13416,32767
1552,-26732,10580,12288,-27687,16470,32767
1574,-32768,14348,7364,-32768,16958,28132
1596,-32768,15604,2772,-32768,23850,17718
1617,-32768,19232,-6436,-32768,2706,5491
1640,-32768,17352,-16512,-32768,-3252,-4295
1662,-32768,15248,-21344,-32768,2123,-12276
1680,-30036,14568,-25052,-32768,3634,-18748
1706,-27836,13992,-30572,-32768,-4494,-23388
1729,-24432,12580,-32768,-29943,-9911,-27497
1749,-17472,8368,-32768,-18364,-1903,-31436
1771,-11336,6160,-32768,-2677,12315,-32768
1794,-6336,5432,-32768,8890,17114,-32768
1816,796,3920,-32768,15910,15278,-32768
1838,10076,928,-32768,22400,14371,-31538
1860,15472,-828,-30432,28937,15203,-24888
1880,14420,-216,-22672,32767,13947,-17428
1904,11716,-956,-17668,32767,5595,-11080
1925,9956,528,-15620,32767,-1288,-6976
1947,8160,1092,-10588,32767,2498,-4659
1970,6396,732,-3980,32767,11410,-3352
1992,4876,24,2128,32767,22412,-1558
2012,5440,-4084,8700,32767,24531,2171
2035,8056,-7044,13312,30410,24482,6887
2057,8984,-8732,19428,24739,32767,13346
2080,5716,-10572,26800,13139,28804,20984
2101,2272,-8496,27168,-1781,13211,27949
2124,-4576,-3072,25024,-12115,11807,32662
2145,-13292,188,24584,-20812,15744,32765
2169,-20224,4292,20404,-31071,11737,30474
2190,-24900,9116,12028,-32768,9620,25855
2212,-25500,12816,6780,-32768,14955,19087
2235,-27952,13600,4084,-32768,24289,12041
2257,-32768,19676,-4388,-32768,-5943,5033
2279,-32768,21292,-20676,-32768,-24231,1005
2298,-32768,18840,-28100,-32768,-17809,-4753
2322,-32768,16972,-32124,-32768,148,-13218
2335,-32768,16164,-32768,-30128,7179,-23066
2366,-27164,13764,-32768,-20690,11423,-31135
2388,-18388,11072,-32768,-12315,10388,-32768
2410,-8244,6924,-32768,-2548,9122,-32768
2432,2088,3532,-32768,9118,13102,-32768
2446,8172,3048,-32768,19704,19206,-32768
2476,10320,1216,-27136,24757,16621,-29024
2498,14612,-208,-23756,27131,11164,-23441
2520,20484,-3436,-21212,29045,9003,-16716
2542,21084,-3536,-16768,32767,20456,-9315
2563,15844,-776,-8764,32767,32767,-1900
2585,12176,-2644,212,32078,24848,5270
2606,14944,-4808,2988,24876,7262,11033
2630,14600,-4076,4256,24334,19497,16590
2646,9160,-4112,9736,21925,32767,22090
2673,5672,-4764,16280,9807,19425,27908
2695,4580,-2612,17904,-1292,6095,32767
2718,-2872,176,19536,-8898,9672,32767
2740,-12452,3008,20392,-18775,6998,32767
2762,-22304,7000,16776,-29596,-3091,32767
2784,-32708,11812,8708,-32768,-2988,32767
2806,-32768,15044,3800,-32768,7769,26112
2827,-32768,17224,1312,-32768,20139,14997
2850,-32768,19952,-6832,-32768,-586,3654
2873,-32768,22460,-21320,-32768,-12959,-4870
2894,-32768,20460,-32768,-32768,-11189,-13235
2916,-32768,17564,-32768,-32768,-1855,-21889
2938,-27976,12544,-32768,-20147,8244,-29985
2958,-16488,8192,-32768,-5053,18695,-32768
2980,-8048,5840,-32768,7581,21927,-32768
3003,72,4032,-32768,16670,19918,-32768
3027,6148,3384,-32768,24495,18191,-32158
3048,9528,2516,-30280,30415,15069,-27167
3070,11424,2492,-25020,32767,13617,-21804
3092,10752,3036,-19976,32767,14576,-16355
3115,9756,2840,-15484,32767,15375,-12140
3135,10252,5516,-8168,32767,16845,-8160
3158,10476,4652,-888,32767,15697,-3869
3179,9676,764,7164,32767,11744,17
3202,11056,-5648,14908,32767,6687,4111
3225,14556,-10276,22388,27602,20019,10660
3246,11536,-10460,31352,15938,25405,18238
3268,7028,-8452,32576,947,20588,24877
3290,2596,-5068,28032,-12048,10840,29830
3307,-2508,-72,20744,-21037,8264,32767
3334,-10440,4372,14696,-27240,5165,32767
3357,-16048,6364,10100,-30952,1673,32555
3379,-21532,7024,7692,-32768,4539,30279
3399,-28136,8924,4940,-32768,9419,26543
3422,-32768,12100,-208,-32768,1925,21175
3444,-32768,14384,-7960,-32768,-1614,14152
3467,-32768,14908,-14868,-32768,-3664,4933
3488,-32768,16020,-18848,-32768,-1625,-3868
3510,-32768,14316,-22748,-32768,7824,-11608
3532,-32496,16112,-29316,-32589,4901,-19024
3554,-27516,14772,-32768,-27794,47,-24950
3577,-20120,11664,-32768,-19089,3638,-29613
3598,-12728,8172,-32768,-6547,15507,-32768
3620,-6428,5028,-32768,5515,23696,-32768
3641,408,4108,-32768,14391,23917,-32768
3657,8696,1384,-29196,18383,13456,-31673
3686,15520,-648,-26996,22075,8422,-25874
3708,18084,-2060,-24312,28386,16709,-18985
3730,18228,-1824,-17888,32743,21777,-11904
3752,19064,-1356,-12324,32767,21278,-4410
3768,17924,-2120,-7208,32452,16781,2608
3797,15552,-2264,-3056,31169,17698,8541
3819,11756,-3636,2068,29051,21114,13358
3837,9888,-4880,6988,24726,23113,17977
3861,9640,-5348,13208,17944,24515,23225
3883,6808,-6972,18240,8325,25221,29210
3907,-1740,-3604,19524,-4774,17857,32767
3929,-10956,1348,17984,-16328,6069,32767
3950,-20592,4452,15340,-24686,2312,32767
3972,-30720,8200,8628,-30931,4453,32767
3994,-32768,11640,1028,-32768,14244,24470
4017,-32768,11968,-2116,-32768,24362,12510
4036,-32768,14020,-10516,-32768,11589,355
4058,-32768,15296,-21324,-32768,-710,-8579
4082,-29792,14648,-28396,-32768,-5045,-14471
4105,-27372,13076,-32768,-32768,-10056,-18644
4125,-25572,11248,-32768,-30134,-16599,-22107
4140,-22308,10412,-32768,-22959,-13128,-26004
4170,-17472,9084,-32768,-12701,-2216,-30447
4192,-12052,6928,-32768,-1937,5491,-32768
4214,-7392,6040,-32768,8071,6182,-32768
4235,128,6396,-32768,17409,7170,-32768
4257,7888,5112,-32768,26766,14546,-32619
4280,13192,2764,-26360,31547,13175,-26996
4302,15120,2544,-20600,32767,9010,-20495
4324,16836,1116,-14580,32767,11552,-14174
4346,15796,-368,-10032,32767,17612,-7716
4367,12280,160,-5648,32767,25665,-1800
4389,8852,268,1068,32767,25632,3729
4407,10156,-2384,7080,32498,13337,9246
4434,11692,-4688,10672,28510,14746,14577
4456,7948,-5860,18520,24743,31643,20706
4479,1648,-7848,28084,10784,23558,26000
4500,-660,-5896,29808,-5109,10259,30118
4522,-5680,-1604,26872,-16725,14031,32437
4544,-13892,2912,21524,-27442,10833,32685
4566,-20000,7736,12180,-32768,2301,31336
4588,-27004,10728,5544,-32768,-1798,28512
4608,-32032,12200,-432,-32768,2346,23373
4630,-32768,10364,-4088,-32768,4213,15796
4653,-32768,12572,-9264,-32768,46,8136
4675,-32768,14024,-13216,-32768,-5944,890
4699,-32768,12772,-18304,-32768,-9357,-5325
4719,-31620,12508,-23948,-32768,-10576,-10273
4742,-29880,11908,-28604,-32613,-10725,-14466
4757,-27472,11016,-31368,-26986,-8928,-19062
4786,-23948,9368,-32768,-19151,-1409,-23675
4808,-19732,7700,-32768,-10232,5962,-27623
4831,-15840,6200,-32768,-1022,8806,-30425
4852,-10240,5188,-32768,7762,9745,-31894
4874,-4860,4448,-32768,17391,15500,-32378
4896,292,4384,-28744,25658,20080,-31288
4919,5824,3808,-24672,31036,19613,-28291
4940,11020,3376,-18608,32767,22478,-23568
4963,14872,1456,-11692,32767,24214,-16523
4984,14248,-1464,-4496,32767,26083,-8707
5004,12960,-3848,-912,32767,30192,-1627
5022,11180,-5076,3728,32767,32767,5342
5051,9916,-5856,11656,29774,32767,12866
5071,8192,-8132,19664,19170,29982,20613
5092,6828,-6364,22832,7310,22350,27613
5116,1008,-2416,24348,-4300,18056,32767
5137,-6960,1116,23404,-16520,7234,32767
5160,-13692,4928,19524,-25336,3021,32767
5182,-21600,9252,15280,-30952,7672,32767
5204,-30288,12984,10732,-32768,7591,31414
5226,-32768,16332,6188,-32768,3479,24554
5248,-32768,19784,236,-32768,2457,15969
5270,-32768,24300,-7344,-32768,-1080,5763
5292,-32768,24364,-15892,-32768,-7382,-3557
5314,-32768,25036,-27388,-32768,-13979,-9759
5336,-32764,21776,-32768,-32768,-10596,-14447
5358,-32128,17648,-32768,-31698,-1350,-20269
5380,-28832,13848,-32768,-17857,8073,-27292
5402,-20652,9700,-32768,-3715,15555,-32686
5424,-10600,7264,-32768,10444,21296,-32768
5447,-3740,7312,-32768,23821,24402,-32768
5468,-924,8928,-32768,32188,18170,-32262
5490,3752,9840,-28036,32767,6105,-29464
5509,9784,7680,-22448,32767,5638,-25547
5535,11640,8228,-17552,32767,16912,-20305
5556,10148,8476,-7916,32767,29129,-14476
5577,10392,5584,2548,32767,24459,-7199
5599,12892,-104,11388,32767,8151,-518
5621,15120,-5036,17568,32767,17072,5897
5637,10500,-6228,28856,27771,32767,14431
5665,5312,-7296,32767,9759,26484,21774
5687,3164,-3924,32767,-8043,12195,28311
5710,-5456,1876,26572,-18872,12411,32474
5732,-15728,6408,19532,-25738,8344,32660
5754,-20900,8652,16672,-30657,10114,29838
5776,-28760,9768,12712,-32768,16724,25325
5798,-32768,13128,2928,-32768,4406,19279
5820,-32768,14768,-4692,-32768,3624,13076
5841,-32768,17868,-9948,-32768,8759,5328
5863,-32768,19204,-19028,-32768,-8832,-1966
5886,-32768,18936,-28372,-32768,-22075,-7098
5908,-32768,17884,-32768,-32768,-18122,-12429
5930,-32768,16304,-32768,-32335,-6560,-20027
5952,-28984,14384,-32768,-18799,6817,-28278
5975,-18688,11840,-32768,-5770,19088,-32768
