timestamp,ax,ay,az,gx,gy,gz
100,-4660,980,15692,176,1340,116
124,-4568,980,15680,184,1352,132
146,-4652,976,15852,184,1299,97
167,-4636,1020,15660,193,1361,132
188,-4620,972,15612,171,1332,141
212,-4612,1032,15744,203,1361,104
233,-4584,992,15720,186,1336,145
256,-4612,964,15580,190,1348,149
277,-4676,1004,15684,193,1337,138
300,-4588,1032,15564,166,1310,125
321,-4592,996,15724,171,1322,101
344,-4676,1032,15736,189,1363,105
366,-4564,940,15628,169,1354,132
388,-4624,1036,15708,215,1316,111
410,-4664,1056,15688,213,1340,151
431,-4652,964,15696,189,1298,120
454,-4592,956,15744,189,1318,110
475,-4636,1028,15732,182,1315,104
491,-4688,988,15616,162,1363,134
520,-4712,976,15700,145,1284,117
541,-4632,960,15736,141,1289,110
564,-4552,1020,15696,194,1377,146
585,-4656,996,15808,196,1381,91
607,-4652,976,15672,158,1301,132
630,-4656,1008,15716,182,1329,144
652,-4584,964,15656,187,1292,121
674,-4548,1044,15612,166,1325,161
696,-4652,972,15704,180,1311,96
719,-4640,1040,15764,176,1327,151
737,-4608,956,15696,176,1318,127
762,-4680,1004,15708,212,1329,125
784,-4604,1004,15692,176,1381,118
804,-4632,968,15628,197,1331,128
826,-4600,1072,15788,191,1337,112
850,-4668,1024,15668,172,1304,135
871,-4596,996,15608,206,1300,118
886,-4612,1052,15704,207,1311,122
916,-4620,1032,15680,209,1352,124
938,-4648,1004,15692,174,1305,106
960,-4692,984,15676,184,1352,131
981,-4680,972,15712,199,1359,113
1004,-4620,1032,15664,198,1363,146
1025,-4684,984,15728,172,1334,141
1047,-4584,992,15644,154,1337,93
1069,-4632,1004,15744,211,1361,161
1092,-4616,1016,15584,207,1344,118
1114,-4696,964,15640,180,1317,125
1136,-4628,1032,15744,228,1337,135
1157,-4624,972,15700,226,1358,133
1179,-4644,996,15596,192,1328,125
1202,-4692,1032,15752,199,1347,154
1224,-4636,1028,15692,162,1351,138
1246,-4696,988,15648,186,1334,129
1269,-4600,1004,15648,188,1321,138
1286,-4600,984,15664,202,1283,145
1310,-4676,1012,15720,197,1314,125
1331,-4580,1012,15704,219,1318,142
1355,-4672,1008,15644,185,1344,123
1376,-4608,984,15692,194,1334,138
1398,-4640,1012,15668,169,1349,116
1419,-4600,948,15780,156,1337,140
1442,-4636,1020,15688,169,1340,135
1465,-4576,968,15692,160,1350,104
1487,-4680,1000,15736,202,1347,125
1508,-4664,1024,15752,190,1342,131
1532,-4616,1000,15600,160,1324,155
1554,-4640,972,15780,183,1335,126
1576,-4712,988,15800,152,1318,148
1598,-4696,1008,15680,208,1344,118
1620,-4540,1036,15552,186,1292,142
1642,-4652,1012,15760,158,1346,126
1658,-4628,948,15776,164,1320,127
1686,-4644,1012,15688,219,1335,135
1708,-4604,956,15648,237,1343,135
1730,-4700,1048,15604,207,1342,131
