timestamp,ax,ay,az,gx,gy,gz
96,-96,16136,3144,206,1340,110
118,-60,16056,3100,196,1338,80
139,-44,16036,3128,199,1363,53
160,-108,16136,3092,218,1371,61
183,-100,16064,3160,174,1361,49
206,-60,16096,3164,188,1389,31
227,-140,16116,3144,197,1376,81
250,-80,16148,3108,198,1369,108
271,-104,16072,3244,212,1342,53
293,-36,16080,3104,182,1386,33
316,-168,16112,3136,204,1401,41
337,-96,16160,3080,216,1375,73
360,-28,16036,3180,186,1370,79
382,-60,16136,3168,205,1355,45
403,-108,16116,3116,221,1345,35
426,-68,16088,3152,159,1369,44
448,-72,16064,3100,160,1363,36
470,-80,16100,3116,173,1354,72
492,-80,16100,3224,179,1362,90
513,-88,16024,3052,214,1375,57
535,-36,16016,3184,192,1337,57
558,-140,16108,3116,218,1381,67
579,-92,16080,3080,215,1386,71
602,-88,16032,3188,205,1369,35
623,-80,16060,3104,193,1343,28
646,-104,16080,3208,170,1361,50
667,-92,16088,3160,188,1378,62
690,-100,16096,3068,199,1378,30
712,-116,16064,3092,217,1392,13
733,-136,16028,3144,186,1380,78
756,-132,16100,3188,213,1353,72
777,-52,16096,3160,162,1371,46
800,-76,16060,3112,167,1360,49
822,-76,16060,3184,194,1379,46
843,-72,16108,3124,216,1355,66
865,-88,16076,3088,226,1346,64
888,-104,16100,3104,200,1319,52
909,-160,16096,3260,205,1342,42
932,-80,16100,3228,208,1348,68
952,-132,16100,3128,197,1378,53
976,-140,16112,3196,175,1388,70
997,-172,16048,3220,206,1359,63
1019,-184,16092,3132,201,1368,74
1042,-40,16040,3128,178,1358,54
1063,-52,16056,3132,181,1355,45
1086,-124,16140,3116,200,1397,78
1107,-88,16124,3116,183,1335,64
1129,-92,16080,3108,198,1354,31
1152,-84,16100,3188,193,1319,40
1173,-56,16028,3144,201,1358,51
1195,-56,16080,3116,149,1366,37
1218,-72,16160,3096,235,1397,53
1240,-48,16116,3088,148,1379,61
1261,-60,16068,3216,160,1366,64
1283,-124,16112,3092,181,1369,58
1306,-100,16048,3116,226,1362,47
1327,-64,16072,3128,192,1335,74
1350,-76,16052,3196,174,1361,34
1372,-16,16096,3100,197,1356,52
1393,-48,16088,3192,196,1389,37
1415,-32,16104,3032,182,1347,68
